source,target,value
Programming language,Tech,4
Programming language choice,DB,1
Programming language choice,Tech,8
Programming language choice,web dev,1
Programming learning,Tech,9
Projects,Tech,1
Pronunciation,Lang,2
Pronunciation,Spanish,2
Pumbaa,Foreign reaction,1
Pumbaa,Interests,1
Pumbaa,Pansori,1
Python,Class,2
Python,IDE,4
Python,Inheritance,2
Python,Library,1
Python,NLP,6
Python,Tech,39
Python,tesseract,1
Rapahel.js,Tech,1
Republic of Korea,Open data,2
Republic of Korea,Tech,2
Residence Permit,Employment,1
Residence Permit,Interests,6
Residence Permit,Spain,6
Residence Permit,Visa,1
Resume,CV,3
Roh Moo Hyun,Yushimin,1
SEO/SEM,Tech,1
SQL,Tech,1
SUMO,Interests,3
SUMO,Madrid,3
SUMO,Price list,1
SUMO,Spain,1
SUMO,Sushi buffet,3
Salary,Interests,2
Samarkand,Hangul,1
Samarkand,Lang,1
Samsung Electronics,Artificial Intelligence,1
Samsung Electronics,Shared data,1
Samsung Electronics,Uver,1
Scrape,Collect,1
Scrape,Data collection,1
Scrape,Data science,1
Scrape,Python,1
Scrape,Tech,2
Screen recording,IMM,1
Sex slave,Society,2
Sex slave,assembly,1
Shared data,Artificial Intelligence,1
Shared data,Uver,1
Shortcuts,Tech,1
Social problem,Sex lobby,1
Social problem,Society,6
Society,Ahn,7
Society,Argentina,1
Society,Artificial Intelligence,1
Society,Avatar,1
Society,Boundary of the ball,1
Society,Candle rally,3
Society,Cheonanham case,3
Society,Choi Kyung Il,2
Society,Christian,2
Society,Classic Japanese Animation,1
Society,Dool Kim Yong Ok,9
Society,Full metal panic,1
Society,German Press Review,1
Society,Gundam,1
Society,Gwanggye-tor,1
Society,Japan,1
Society,Japanese military slave,3
Society,Land dissemination,2
Society,Lee Myung Bak,7
Society,Mazinger z,1
Society,Mitsubishi Heavy Industries,1
Society,North Korea,5
Society,Oriental Classics,3
Society,Presidential election,1
Society,Right-wing political group,3
Society,Roh Moo Hyun,9
Society,Samsung Electronics,1
Society,Sex lobby,1
Society,Sex slave,3
Society,Shared data,1
Society,Sir Anna,1
Society,South American economic crisis,1
Society,Tariff war,1
Society,Uver,1
Society,Yushimin,4
Society,assembly,1
Society,economy,1
Society,health,1
Society,motherland,1
Society,sex slave,1
Society,블랙리스트,1
Society,지상파-편향성,1
Source code,Tech,1
Spain,Employment,1
Spain,Price list,1
Spain,Visa,1
Spanish,Classic Annie,1
Spanish,Lang,33
Spanish,Learning materials,1
Spanish,Linguistic characteristic,1
Spanish,Live broadcasting,9
Spanish,Spanish lyrics,2
Spanish,news,4
Spanish characteristics,Korean Characteristics,1
Spanish characteristics,Lang,1
Spanish characteristics,Linguistic characteristic,1
Spanish characteristics,Spanish,1
Spanish music,Interests,3
Spanish press,Lang,4
Spanish press,Spanish,4
Spanish press,news,4
Spanish woman Lara,Foreign reaction,1
Spanish woman Lara,Interests,1
Spanish woman Lara,Korean food,1
Startup,Career,1
Startup,Venture,1
Startup,취업(Job search),1
Sushi buffet,Ikki,2
Sushi buffet,Interests,4
Sushi buffet,Madrid,7
Sushi buffet,Price list,1
Sushi buffet,Spain,1
TDD,Tech,1
TVXQ,Interests,2
Tech,Artificial Intelligence,5
Tech,Container,6
Tech,Development Tools,2
Tech,Dimple.js,1
Tech,Express.js,3
Tech,IDE,8
Tech,Jupyter,1
Tech,Node.js,37
Tech,Open data,2
Tech,Python,4
Tech,Template_engine,1
Tech,Virtualenv,2
Tech,Visualization,3
Tech,original,1
Technology in movie,Tech,4
Text editor,Development Tools,1
Text editor,Tech,6
Text editor,comparison,1
Text editor,macOS,1
The,Go to your room,1
The,Interests,1
The best alphabet,Hangul,1
The best alphabet,Lang,1
Travel,History/Culture,2
Travel,Interests,3
Travel,Spain,1
Travel,culture,1
Trump,Society,1
UPV,AWC,4
UPV,IMM,3
UPV,Language Certification,1
UPV,Screen recording,1
UPV,education,1
Ubuntu,Tech,2
Uver,Artificial Intelligence,1
Uzbekistan,Hangul,1
Uzbekistan,Hun-Min-Jeong-Eum,1
Uzbekistan,Lang,1
Uzbekistan,Samarkand,1
VR,Artificial Intelligence,1
VR,Tech,1
Venture,취업(Job search),1
Virtualenv,IDE,2
Virtualenv,Python,3
Virtualenv,Tech,1
Visa,Employment,1
Visa,Interests,1
